,shot_id,event_type,team_id,player_id,player_name,shot_x,shot_y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,xG,xGOT,shot_type,situation,period,is_own_goal,on_goal_x,on_goal_y,short_name
656,2445292617,AttemptSaved,8456,815006,Phil Foden,96.4122807008,40.97380824153511,9,,False,True,102.25000000019999,37.05,32.70374999999999,0.0385263156,0.2641187310218811,0.5695,LeftFoot,RegularPlay,FirstHalf,False,60.43154761904771,0.4496535434173669,
657,2445294983,AttemptSaved,8456,614006,Ruben Dias,90.5,33.46624941825866,10,,True,True,92.6,33.695,35.3725,1.2199999940000001,0.005313515663146973,,Header,FromCorner,FirstHalf,False,28.66071428571426,14.239028874883287,
658,2445313161,Goal,8456,178818,Ilkay Gündogan,95.2543889082786,37.69599981689453,19,,False,True,,,30.797499999999996,0.40452631380000004,0.4517890512943268,0.9241,LeftFoot,RegularPlay,FirstHalf,False,83.125,4.721362205882353,
659,2445318847,AttemptSaved,8678,610267,Ben Pearson,87.963235294,39.545001283464885,21,,False,True,103.4827586208,34.68625,32.39875,1.1365263102,0.02674517035484314,0.1198,LeftFoot,RegularPlay,FirstHalf,False,64.0625,13.264779530812323,
660,2445328297,Miss,8456,675088,Rodri,84.51213935933113,27.278333974232446,28,,False,False,,,27.950714285,1.6951578864,0.07427194714546204,,RightFoot,RegularPlay,FirstHalf,False,144.03061226190468,19.784755910364144,
661,2445333343,Goal,8456,169200,Kevin De Bruyne,92.30000305175781,23.9291719792,31,,False,True,,,36.97375,0.20547368320000003,0.0699320137500763,0.5079,RightFoot,RegularPlay,FirstHalf,False,9.598214285714256,2.3981522315592905,
662,2445344389,AttemptSaved,8678,160447,Adam Smith,90.30000305175781,31.86500058174133,37,,True,True,91.8,32.09375,34.0,1.2199999940000001,0.06969022750854492,,LeftFoot,RegularPlay,FirstHalf,False,45.0,14.239028874883287,
663,2445345725,Goal,8456,815006,Phil Foden,96.50877045656071,40.30142793076755,37,,False,True,,,31.254999999999995,0.1219999994,0.27922338247299194,0.6874,LeftFoot,FastBreak,FirstHalf,False,77.67857142857149,1.4239028874883286,
664,2445362719,AttemptSaved,8456,737066,Erling Braut Haaland,98.6315818917786,48.414774929225736,45,0.0,False,True,103.8620689656,36.51625,35.90625,2.2345263048,0.020403534173965454,0.1958,LeftFoot,RegularPlay,FirstHalf,False,22.30654761904762,26.079905518207283,
665,2445400801,AttemptSaved,8456,169200,Kevin De Bruyne,97.9561388780607,19.164841301343564,55,,False,True,103.9568965518,31.1025,30.797499999999996,0.9759999952,0.050442665815353394,0.152,RightFoot,RegularPlay,SecondHalf,False,83.125,11.391223099906629,
666,2445403605,AttemptSaved,8456,278343,Riyad Mahrez,84.51213935933113,25.99624955892563,56,,True,True,91.5,28.539047618000005,33.5425,1.2199999940000001,0.02675899863243103,,LeftFoot,FromCorner,SecondHalf,False,50.44642857142861,14.239028874883287,
