,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
1406,3905430,2022-08-07 09:30:00,,xGOT_for,1.41,A,10199,Luzern,4 - 3 - 1 - 2
1431,3905398,2022-08-10 12:00:00,Alessandro Dudic,xG_for,0.3,A,9956,Grasshopper,3 - 1 - 4 - 2
1432,3905398,2022-08-10 12:00:00,Alessandro Dudic,xGOT_for,0.54,A,9956,Grasshopper,3 - 1 - 4 - 2
1457,3905438,2022-08-14 07:15:00,Sandro Schärer,xG_for,1.37,A,10243,FC Zürich,3 - 1 - 4 - 2
1458,3905438,2022-08-14 07:15:00,Sandro Schärer,xGOT_for,0.39,A,10243,FC Zürich,3 - 1 - 4 - 2
1483,3905449,2022-08-14 09:30:00,Fedayi San,xG_for,0.58,A,9777,Servette,4 - 1 - 4 - 1
1484,3905449,2022-08-14 09:30:00,Fedayi San,xGOT_for,0.06,A,9777,Servette,4 - 1 - 4 - 1
1509,3905429,2022-08-13 11:00:00,Stefan Horisberger,xG_for,0.72,A,9956,Grasshopper,3 - 1 - 4 - 2
1510,3905429,2022-08-13 11:00:00,Stefan Horisberger,xGOT_for,1.68,A,9956,Grasshopper,3 - 1 - 4 - 2
1535,3905448,2022-08-27 11:00:00,Alain Bieri,xG_for,1.3,A,10179,Sion,4 - 3 - 2 - 1
1536,3905448,2022-08-27 11:00:00,Alain Bieri,xGOT_for,0.85,A,10179,Sion,4 - 3 - 2 - 1
1561,3905437,2022-07-31 09:30:00,,xG_for,2.25,A,7896,Lugano,4 - 2 - 3 - 1
1562,3905437,2022-07-31 09:30:00,,xGOT_for,2.05,A,7896,Lugano,4 - 2 - 3 - 1
1587,3905431,2022-08-07 09:30:00,,xG_for,2.02,A,10192,Young Boys,4 - 1 - 2 - 1 - 2
1588,3905431,2022-08-07 09:30:00,,xGOT_for,1.94,A,10192,Young Boys,4 - 1 - 2 - 1 - 2
1613,3905439,2022-08-13 13:30:00,Urs Schnyder,xG_for,0.01,A,10199,Luzern,4 - 3 - 3
1614,3905439,2022-08-13 13:30:00,Urs Schnyder,xGOT_for,0.26,A,10199,Luzern,4 - 3 - 3
1639,3905444,2022-08-28 09:30:00,Fedayi San,xG_for,1.75,A,9931,Basel,4 - 1 - 4 - 1
1640,3905444,2022-08-28 09:30:00,Fedayi San,xGOT_for,3.07,A,9931,Basel,4 - 1 - 4 - 1
1665,3905447,2022-08-27 13:30:00,Sven Wolfensberger,xG_for,0.71,A,9956,Grasshopper,3 - 4 - 1 - 2
1666,3905447,2022-08-27 13:30:00,Sven Wolfensberger,xGOT_for,0.08,A,9956,Grasshopper,3 - 4 - 1 - 2
1691,3905446,2022-08-28 07:15:00,Stefan Horisberger,xG_for,1.92,A,10190,St. Gallen,4 - 3 - 3
1692,3905446,2022-08-28 07:15:00,Stefan Horisberger,xGOT_for,3.05,A,10190,St. Gallen,4 - 3 - 3
1717,3905440,2022-08-14 09:30:00,Alessandro Dudic,xG_for,1.19,A,7896,Lugano,4 - 1 - 4 - 1
1718,3905440,2022-08-14 09:30:00,Alessandro Dudic,xGOT_for,1.54,A,7896,Lugano,4 - 1 - 4 - 1
1743,3905443,2022-09-03 11:00:00,Lukas Fähndrich,xG_for,0.3,A,9931,Basel,4 - 2 - 3 - 1
1744,3905443,2022-09-03 11:00:00,Lukas Fähndrich,xGOT_for,0.31,A,9931,Basel,4 - 2 - 3 - 1
1769,3905442,2022-09-03 13:30:00,Alessandro Dudic,xG_for,1.16,A,7896,Lugano,4 - 2 - 3 - 1
1770,3905442,2022-09-03 13:30:00,Alessandro Dudic,xGOT_for,2.32,A,7896,Lugano,4 - 2 - 3 - 1
1795,3905445,2022-08-28 09:30:00,Anojen Kanagasingam,xG_for,1.84,A,10192,Young Boys,4 - 1 - 2 - 1 - 2
1796,3905445,2022-08-28 09:30:00,Anojen Kanagasingam,xGOT_for,3.11,A,10192,Young Boys,4 - 1 - 2 - 1 - 2
1821,3905428,2022-09-04 09:30:00,Nico Gianforte,xG_for,0.74,A,7894,Winterthur,3 - 5 - 1 - 1
1822,3905428,2022-09-04 09:30:00,Nico Gianforte,xGOT_for,0.45,A,7894,Winterthur,3 - 5 - 1 - 1
1847,3905413,2022-09-11 07:15:00,Fedayi San,xG_for,0.81,A,10243,FC Zürich,4 - 2 - 3 - 1
1848,3905413,2022-09-11 07:15:00,Fedayi San,xGOT_for,1.27,A,10243,FC Zürich,4 - 2 - 3 - 1
1873,3905410,2022-09-11 09:30:00,Sven Wolfensberger,xG_for,0.91,A,7896,Lugano,4 - 2 - 3 - 1
1874,3905410,2022-09-11 09:30:00,Sven Wolfensberger,xGOT_for,0.00,A,7896,Lugano,4 - 2 - 3 - 1
1899,3905427,2022-09-04 09:30:00,Fedayi San,xG_for,0.46,A,10192,Young Boys,4 - 3 - 1 - 2
1900,3905427,2022-09-04 09:30:00,Fedayi San,xGOT_for,1.17,A,10192,Young Boys,4 - 3 - 1 - 2
1925,3905426,2022-09-10 11:00:00,Luca Cibelli,xG_for,1.79,A,10179,Sion,4 - 3 - 3
1926,3905426,2022-09-10 11:00:00,Luca Cibelli,xGOT_for,2.13,A,10179,Sion,4 - 3 - 3
1951,3905412,2022-09-10 13:30:00,Johannes von Mandach,xG_for,4.02,A,10199,Luzern,4 - 1 - 4 - 1
1952,3905412,2022-09-10 13:30:00,Johannes von Mandach,xGOT_for,6.13,A,10199,Luzern,4 - 1 - 4 - 1
1977,3905441,2022-09-04 07:15:00,Urs Schnyder,xG_for,1.06,A,9777,Servette,4 - 3 - 3
1978,3905441,2022-09-04 07:15:00,Urs Schnyder,xGOT_for,1.27,A,9777,Servette,4 - 3 - 3
2003,3905411,2022-09-11 09:30:00,Alain Bieri,xG_for,1.06,A,9956,Grasshopper,4 - 3 - 3
2004,3905411,2022-09-11 09:30:00,Alain Bieri,xGOT_for,0.99,A,9956,Grasshopper,4 - 3 - 3
