,minutes,touches,role,playerId,teamId,playerName,xGOT,goals_conceded,match_id,date,teamName
108,90,,Keeper,177126,9906,Jan Oblak,0.24,1,3629145,2021-09-21 19:30:00,Atletico Madrid
109,90,,Keeper,340020,8302,Yassine Bounou,0.25,0,3629161,2021-09-25 18:30:00,Sevilla
110,90,,Keeper,41466,8558,Diego Lopez,2.16,2,3629161,2021-09-25 18:30:00,Espanyol
111,90,,Keeper,660625,8315,Unai Simon,1.41,2,3629144,2021-09-21 22:00:00,Athletic Club
112,90,,Keeper,254241,8370,Stole Dimitrievski,0.11,1,3629144,2021-09-21 22:00:00,Rayo Vallecano
113,90,,Keeper,651910,8661,Dominik Greif,1.47,3,3629158,2021-09-26 14:00:00,Mallorca
114,90,,Keeper,683762,8371,Sergio Herrera,4.30,2,3629158,2021-09-26 14:00:00,Osasuna
115,90,,Keeper,1041445,8581,Dani Cárdenas,1.61,2,3629149,2021-09-21 22:00:00,Levante
116,90,,Keeper,592412,9910,Matias Dituro,1.19,0,3629149,2021-09-21 22:00:00,Celta Vigo
117,90,,Keeper,184554,8634,Marc-Andre ter Stegen,0.75,0,3629155,2021-09-26 16:15:00,Barcelona
118,90,,Keeper,213471,8581, Aitor,2.96,3,3629155,2021-09-26 16:15:00,Levante
119,90,,Keeper,616539,8560,Alex Remiro,0.43,0,3629160,2021-09-26 18:30:00,Real Sociedad
120,90,,Keeper,40672,10268,Francisco Casilla,1.27,1,3629160,2021-09-26 18:30:00,Elche
121,90,,Keeper,254241,8370,Stole Dimitrievski,0.77,1,3629163,2021-09-26 18:30:00,Rayo Vallecano
122,90,,Keeper,486981,8385,Jeremias Ledesma,3.11,3,3629163,2021-09-26 18:30:00,Cadiz
123,90,,Keeper,37421,8603,Claudio Bravo,0.35,0,3629156,2021-09-26 21:00:00,Real Betis
124,90,,Keeper,581919,8305,David Soria,1.58,2,3629156,2021-09-26 21:00:00,Getafe
125,90,,Keeper,948800,10267,Giorgi Mamardashvili,1.65,2,3629141,2021-09-19 21:00:00,Valencia
126,90,,Keeper,170323,8633,Thibaut Courtois,0.84,1,3629141,2021-09-19 21:00:00,Real Madrid
127,90,,Keeper,114762,8661,Manolo Reina,0.78,0,3629139,2021-09-19 14:00:00,Mallorca
128,90,,Keeper,245555,10205,Geronimo Rulli,0.08,0,3629139,2021-09-19 14:00:00,Villarreal
129,90,,Keeper,616539,8560,Alex Remiro,0.40,0,3629140,2021-09-19 16:15:00,Real Sociedad
130,90,,Keeper,340020,8302,Yassine Bounou,1.68,0,3629140,2021-09-19 16:15:00,Sevilla
131,90,,Keeper,592412,9910,Matias Dituro,0.58,0,3629157,2021-09-27 21:00:00,Celta Vigo
